Node ID	No Taxa	Original BL	No different from original	Pct time scaled	Mean Scalar	Mode Scalar	Median Scalar	SD Scalar	Mean SigV	Mode SigV	Median SigV	SD SigV	Mean DeltaB	Mode DeltaB	Median DeltaB	SD DeltaB	Mean DeltaV	Mode DeltaV	Median DeltaV	SD DeltaV	Taxa List	
42	3	17.210607	782	78.200000	7.644682	1.482203	5.269842	10.366985	0.003498	0.000873	0.002431	0.004310	0.008680	0.007758	0.008227	0.002889	0.060199	0.015027	0.041834	0.074185	Abyssosaurus_nataliae,Colymbosaurus_megadeirus,Ophthalmothule_cryostea	
43	2	6.491784	789	78.900000	8.091169	1.462777	5.294425	12.961298	0.003758	0.000883	0.002442	0.006136	0.003274	0.002926	0.003103	0.001090	0.024395	0.005732	0.015853	0.039833	Abyssosaurus_nataliae,Colymbosaurus_megadeirus	
44	1	0.507713	792	79.200000	8.727769	1.613422	5.431939	14.180263	0.003963	0.000925	0.002517	0.006018	0.000256	0.000229	0.000243	0.000085	0.002012	0.000470	0.001278	0.003056	Colymbosaurus_megadeirus	
45	1	13.449291	785	78.500000	7.806155	1.616687	5.218595	12.427737	0.003513	0.000879	0.002389	0.004651	0.006783	0.006062	0.006429	0.002258	0.047250	0.011826	0.032127	0.062548	Abyssosaurus_nataliae	
46	1	1.578579	798	79.800000	10.192751	1.772115	5.809679	22.744132	0.004776	0.000971	0.002643	0.011727	0.000796	0.000712	0.000755	0.000265	0.007539	0.001533	0.004173	0.018512	Ophthalmothule_cryostea	
47	1	5.387577	645	64.500000	6.454748	1.318115	3.912387	20.338377	0.002951	0.000580	0.001686	0.009986	0.002717	0.002429	0.002575	0.000904	0.015898	0.003125	0.009084	0.053799	Cryptoclidus_eurymerus	
48	22	5.736267	117	11.700000	1.267000	1.009365	1.000000	1.533631	0.000627	0.000448	0.000493	0.000822	0.002893	0.002586	0.002742	0.000963	0.003598	0.002572	0.002830	0.004717	Albertonectes_vanderveldei,Aristonectes_quiriquinensis,Brancasaurus_brancai,Callawayasaurus_colombiensis,Dolichorhynchops_bonneri,Dolichorhynchops_osborni,Edgarosaurus_muddi,Hydrotherosaurus_alexandrae,Kaiwhekea_katiki,Libonectes_morgani,Manemergus_anguirostris,Mauriciosaurus_fernandezi,Nakonanectes_bradti,Nichollssaura_borealis,Polycotylus_latipinnis,Styxosaurus_SDSM_451,Styxosaurus_browni,Styxosaurus_rezaci,Thalassomedon_haningtoni,Thililua_longicollis,Trinacromerum_bentonianum,Vegasaurus_molyi	
49	12	39.156704	149	14.900000	1.579379	1.019604	1.000000	2.856200	0.000758	0.000462	0.000503	0.001320	0.019749	0.017650	0.018717	0.006573	0.029682	0.018107	0.019696	0.051687	Albertonectes_vanderveldei,Aristonectes_quiriquinensis,Callawayasaurus_colombiensis,Hydrotherosaurus_alexandrae,Kaiwhekea_katiki,Libonectes_morgani,Nakonanectes_bradti,Styxosaurus_SDSM_451,Styxosaurus_browni,Styxosaurus_rezaci,Thalassomedon_haningtoni,Vegasaurus_molyi	
50	1	5.883370	119	11.900000	1.200597	1.008207	1.000000	1.324336	0.000581	0.000454	0.000494	0.000611	0.002967	0.002652	0.002812	0.000988	0.003418	0.002673	0.002906	0.003596	Callawayasaurus_colombiensis	
51	11	16.025670	139	13.900000	1.307624	0.999927	1.000000	2.160828	0.000647	0.000466	0.000494	0.001273	0.008082	0.007224	0.007660	0.002690	0.010371	0.007461	0.007917	0.020398	Albertonectes_vanderveldei,Aristonectes_quiriquinensis,Hydrotherosaurus_alexandrae,Kaiwhekea_katiki,Libonectes_morgani,Nakonanectes_bradti,Styxosaurus_SDSM_451,Styxosaurus_browni,Styxosaurus_rezaci,Thalassomedon_haningtoni,Vegasaurus_molyi	
52	4	8.346219	168	16.800000	1.334518	0.983096	1.000000	2.081513	0.000654	0.000453	0.000490	0.001060	0.004209	0.003762	0.003989	0.001401	0.005461	0.003781	0.004090	0.008847	Styxosaurus_SDSM_451,Styxosaurus_browni,Styxosaurus_rezaci,Thalassomedon_haningtoni	
53	1	7.393833	153	15.300000	1.222264	0.983978	1.000000	2.264003	0.000585	0.000447	0.000490	0.000971	0.003729	0.003333	0.003534	0.001241	0.004326	0.003302	0.003623	0.007178	Thalassomedon_haningtoni	
54	3	5.397051	177	17.700000	1.302994	0.983532	1.000000	2.052750	0.000635	0.000456	0.000487	0.001010	0.002722	0.002433	0.002580	0.000906	0.003428	0.002461	0.002631	0.005451	Styxosaurus_SDSM_451,Styxosaurus_browni,Styxosaurus_rezaci	
55	1	1.679772	179	17.900000	1.287480	1.014920	1.000000	2.124159	0.000618	0.000452	0.000491	0.000978	0.000847	0.000757	0.000803	0.000282	0.001039	0.000760	0.000824	0.001643	Styxosaurus_rezaci	
56	2	13.641410	186	18.600000	1.298073	0.990711	1.000000	2.087302	0.000641	0.000459	0.000490	0.001116	0.006880	0.006149	0.006521	0.002290	0.008740	0.006257	0.006684	0.015217	Styxosaurus_SDSM_451,Styxosaurus_browni	
57	1	12.741853	183	18.300000	1.207422	0.995776	1.000000	1.512615	0.000592	0.000453	0.000487	0.000813	0.006426	0.005744	0.006091	0.002139	0.007542	0.005767	0.006205	0.010355	Styxosaurus_browni	
58	1	3.718718	184	18.400000	1.288795	0.995787	1.000000	2.148353	0.000639	0.000459	0.000487	0.001235	0.001876	0.001676	0.001778	0.000624	0.002377	0.001705	0.001809	0.004593	Styxosaurus_SDSM_451	
59	7	15.379842	143	14.300000	1.344493	1.034331	1.000000	2.899818	0.000646	0.000457	0.000494	0.001273	0.007757	0.006933	0.007352	0.002582	0.009928	0.007023	0.007604	0.019586	Albertonectes_vanderveldei,Aristonectes_quiriquinensis,Hydrotherosaurus_alexandrae,Kaiwhekea_katiki,Libonectes_morgani,Nakonanectes_bradti,Vegasaurus_molyi	
60	1	5.963603	150	15.000000	1.332214	1.004667	1.000000	2.098178	0.000650	0.000455	0.000495	0.001010	0.003008	0.002688	0.002851	0.001001	0.003878	0.002714	0.002952	0.006025	Libonectes_morgani	
61	6	1.247347	175	17.500000	1.411896	0.998217	1.000000	2.401809	0.000692	0.000441	0.000502	0.001274	0.000629	0.000562	0.000596	0.000209	0.000863	0.000550	0.000626	0.001589	Albertonectes_vanderveldei,Aristonectes_quiriquinensis,Hydrotherosaurus_alexandrae,Kaiwhekea_katiki,Nakonanectes_bradti,Vegasaurus_molyi	
62	5	6.175158	204	20.400000	2.114395	1.105505	1.000000	6.407219	0.000983	0.000468	0.000510	0.002524	0.003114	0.002784	0.002952	0.001037	0.006073	0.002892	0.003152	0.015587	Aristonectes_quiriquinensis,Hydrotherosaurus_alexandrae,Kaiwhekea_katiki,Nakonanectes_bradti,Vegasaurus_molyi	
63	1	23.797833	176	17.600000	1.364163	1.022080	1.000000	2.113768	0.000635	0.000458	0.000505	0.000794	0.012002	0.010727	0.011375	0.003995	0.015111	0.010911	0.012018	0.018895	Nakonanectes_bradti	
64	4	10.176488	204	20.400000	1.518058	0.990900	1.000000	2.341251	0.000730	0.000457	0.000509	0.001167	0.005132	0.004587	0.004864	0.001708	0.007428	0.004647	0.005185	0.011880	Aristonectes_quiriquinensis,Hydrotherosaurus_alexandrae,Kaiwhekea_katiki,Vegasaurus_molyi	
65	1	13.621346	200	20.000000	1.546687	1.025535	1.000000	2.758339	0.000716	0.000456	0.000511	0.001142	0.006870	0.006140	0.006511	0.002287	0.009748	0.006212	0.006964	0.015552	Hydrotherosaurus_alexandrae	
66	3	8.784551	267	26.700000	2.171217	1.055433	1.000000	4.359856	0.001009	0.000462	0.000529	0.001960	0.004430	0.003960	0.004199	0.001475	0.008865	0.004056	0.004647	0.017221	Aristonectes_quiriquinensis,Kaiwhekea_katiki,Vegasaurus_molyi	
